DEDICATED_ACCOUNT_ID, DESCRIPTION, UNIT_TYPE
178, Onent  OffNet Voice and ISD voice all Zones Monetary,1
179, 360MB_Weekly_TV_Bundle_3GHC,1
180, ONNET -OFFNET Voice AND SMS Monetary,1
181, 600MB_Weekly_TV_Bundle_5GHC,1
182, MONETARY_ONNET&OFFNET_VOICE-SMS-DATA-All_ISD_Zones,1
183, 150GB Monthly Data Bundle,1
184, ONNET AND OFFNET ISD BAND1E BANDID BANDIC All Data TG ONNET SMS,0
185, DIY BUNDLE SMS,5
186, DIY BUNDLE VOICE,0
187, DIY BUNDLE DATA,6
188, Daily Data Redemption Cap,1
189, Weekly Data Redemption Cap,1
190, Monthly Data Redemption Cap,1
191, Momo Freebiz For Registration Info Update,1
192, DIY BUNDLE SMS VIA PREPAID WALLET,5
193, DIY BUNDLE VOICE VIA PREPAID WALLET,0
194, DIY BUNDLE DATA VIA PREPAID WALLET,6
195, Hello World Data Bundle_165ghc_235.71MB,1
196, ACS Data,1
197, Hello World Data Bundle_410ghc_585.71MB,1
198, 4G_20GB data bundle,1
199, 4G_50GB data bundle,1
200, 4G_100GB data bundle,1
201, Pay Monthly SMS Onnet  And Offnet,5
202, Daily 4G SIM Swap Bonus,1
203, Weekly/Monthly 4G SIM Swap Bonus,1
204, 1GHC 25MB Weekly Bundle,1
205, Contract-Staff Monthly DA/4G TopUp 5GB Capping,1
206, 2000MB_Weekly_TV_Bundle_10GHC,1
207, Device_Bundle_DA,1
208, FTTX | WTTX DA,1
209, Music Plus Data,1
210, 4500MB_Weekly_TV_Bundle_20GHC,1
211, Master Beneficiary SMS Bundle,1
212, PM Birthday Reward Voice,1
213, PM Birthday Reward SMS,1
214, PM Birthday Reward Data,1
215, Master Beneficiary Voice Bundle,1
216, Local_voice_across_NW_Non_Monetary,0
217, 2000MB_Monthly_TV_Bundle_20GHC,1
218, IDD_destination_for_Ericsson_bundle_nonmone,0
219, 3500MB_Monthly_TV_Bundle_30GHC,1
220, Local_sms_across_nw_nonmon,5
221, 5000MB_Monthly_TV_Bundle_40GHC,1
222, Data_nonmone_bundle,6
223, Kokrokoo Voice 30 Mins,1
224, PM_Money_Back_Local_SMS_across_nw_nonmon,5
225, PM_Money_Back_Local_Voice_Across_nw_nonmon,0
226, PM_Money_Back_Data_NonMonetary_Bundle,6
227, GH3 500MB Daily Data Bundle,1
228, VOICE ONNET OFFNET AND ISD ZONE 1A,0
229, 7000MB_Monthly_TV_Bundle_50GHC,1
230, Voice IDD and National Calls,0
231, IDD Bundle_Canada_UK fixed_China_USA_India_2ghc,1
232, IDD Bundle_Canada_UK fixed_China_USA_India_5ghc,1
233, IDD Bundle_Canada_UK fixed_China_USA_India_10ghc,1
234, IDD Bundle_France_Germany_Spain_2ghc,1
235, IDD Bundle_France_Germany_Spain_5ghc,1
236, IDD Bundle_France_Germany_Spain_10ghc,1
237, NightBundle_5GB,1
238, NightBundlePlus_3GB,1
239, 15GB_MonhtlyDataBundle,1
241, Kumawood Freebies,1
242, 14 Years And Above Anniversary Bonus Onnet,1
243, Device Strategy iPhone6 2560MB Data,1
244, PM ME2U,1
245, PM Reward_100SMS Freebies,5
246, PM Reward 1GB Data NonMonetary,6
247, PM Reward 100Mins_Voice National Calls NonMonetary,0
248, 1GB Weekly Data Bundle,1
249, Dataguard Top Up Bundle,1
250, PM Device Deal 2.5GB Data Freebies,6
251, Dataguard Default Bundle,1
252, Whatsapp_50MB,1
253, Huawei Eazifone Prepaid  Voice,1
254, Smart  Cam Data Offer,1
255, Huawei Eazifone Prepaid SMS,1
256, Master Beneficiary Data Bundle,1
300, Smart Capex,1
304, Afcon_MOC,1
305, Hajj_MTC,1
306, Afcon_Data,1
307, Afcon_SMS,1
308, Data Library_Free MB,1
309, Data Library_Bonus,1
310, Data Library_Lifestysle Bonus,1
311, Data Library_Free MB_Night bundle,1
312, Goody Hour_Lifestyle Bundle,1
313, Goody Day_Lifestyle Bundle,1
314, DIY_Voice,1
315, DIY_SMS,1
316, DIY_Data,1
317, Jaara2_Free50 MB,1
318, SME_Plus_Onnet_Offnet_Wallet,1
319, CVM Bundles_MoMo_Onnet,1
320, Internet Addiction_500MB_Bonus,1
321, Internet Addiction_1GB_Bonus,1
322, DIASPORA 100 SMS Across NW,1
323, DIASPORA 100Mins ACROSS NW,1
324, DIASPORA  1GB DATA,1
325, DIASPORA 400MB LIFESTYLE BUNDLE,1
326, DIASPORA UK FIXED 10MINS,1
327, Onnet_Weekly,1
328, Onnet_Monthly,1
329, Allnet_Daily,1
330, Allnet_Weekly,1
331, Allnet_Monthly,1
332, CVM 60MB daily @ GHS 1,1
333, CVM 100MB daily @ GHS 1.50,1
334, CVM 130MB daily @ GHS 2,1
335, CVM 1GB 3-day @ GHS 5,1
336, Onnet_Daily,1
337, CVM 2.5GB 3-day @ GHS 12,1
338, CVM 100MB 3-day @ GHS 2,1
339, CVM 300MB 3-day @ GHS 3,1
340, CVM 500MB weekly @ GHS 5,1
341, CVM 1.5GB weekly @ GHS 15,1
342, CVM 550MB monthly @ GHS 10,1
343, CVM 2GB monthly @ GHS 20,1
344, CVM 1.2GB monthly @ GHS 15,1
345, CVM 3GB monthly @ GHS 30,1
346, Monthly_10GHC_600MB,1
347, Monthly_20GHC_2028MB,1
348, Monthly_30GHC_3277MB,1
349, Monthly_50GHC_5632MB,1
350, Monthly_100GHC_13312MB,1
351, Monthly_199GHC_28672MB,1
352, Monthly_299GHC_56320MB,1
353, Monthly_399GHC_204800MB,1
354, Hot Seat_Voice Benefit,1
355, Hot Seat_Data Benefit,1
365, Free100MB-Saturday_SundayOnly,1
366, Free200MB-7days,1
367, Free200MB-15days,1
368, Free100MB-30days,1
369, Free200MBWhatsappOnly- Saturday_SundayOnly,1
370, Free400MBFacebookOnly-Saturday_SundayOnly,1
371, Free400MBInstagramOnly - Saturday_SundayOnly,1
372, FreeOnnetMinutes-3days,1
373, FreeOnnetMinutes-7days,1
374, FreeOnnetMinutes-15days,1
375, Terrific Thursday_50% Bonus,1
376, Free500MBLifestylePack-Saturday_SundayOnly,1
377, Free200MBWhatsappOnly-7days,1
378, Free300MBWhatsappOnly-30days,1
379, Free250MBFacebookOnly-7days,1
380, Free350MBInstagramOnly-7days,1
381, Free500MBLifestylePack-7days,1
382, Data Zone unlimited,1
383, Data Zone 25mb,1
384, Data Zone 50mb,1
385, Data Zone 75mb,1
386, Data Zone bonus,1
387, Daily_Bundle_50MB_1GHC,1
388, Daily_Bundle_120MB_2GHC,1
389, Daily_Bundle_500MB_3GHC,1
390, Weekly_Bundle_25MB_1GHC,1
391, Weekly_Bundle_60MB_2GHC,1
392, Weekly_Bundle_180MB_3GHC,1
393, Weekly_Bundle_300MB_5GHC,1
394, Weekly_Bundle_1000MB_10GHC,1
395, Monthly_Bundle_600MB_10GHC,1
396, Monthly_Bundle_2028MB_20GHC,1
397, Monthly_Bundle_3277MB_30GHC,1
398, Monthly_Bundle_5632MB_50GHC,1
399, Monthly_Bundle_13312MB_100GHC,1
400, MyMTN_50MB,6
401, Monthly_Bundle_28672MB_199GHC,1
402, Monthly_Bundle_102400MB_299GHC,1
403, Monthly_Bundle_204800MB_399GHC,1
421, Daily_Bundle_25MB_0.5GHC,1
422, JAARA,1
423, 2GHC Sunday Special,1
424, 2GHC Sunday Special,1
425, FMC UPTAKE,1
426, Dream Oval Onnet,0
427, Dream Oval Offnet,0
428, 138CST_Daily Internet,1
429, 138CST_Weekly Internet,1
430, 138CST_Monthly Internet,1
431, Voice_567CSTYouth_Daily,1
432, Voice_567CSTYouth_Weekly,1
433, Voice_567CSTYouth_Monthly,1
434, Data_567CSTYouth_Daily,1
435, Data_567CSTYouth_Weekly,1
436, Data_567CSTYouth_Monthly,1
437, Social Media Bundle Daily,1
438, Social Media Bundle Weekly,1
439, Social Media Bundle Monthly,1
440, Video Bundle Daily,1
441, Video Bundle Weekly,1
442, Video Bundle Monthly,1
